date,      time,           trace
09.09.2018,22:19:54.565015,bot was interrupted by error:No results.  Previous SQL was not a query. in main
09.09.2018,22:19:54.565015,bot restart attempt
09.09.2018,22:19:56.607980,bot waked up
09.09.2018,22:23:54.535721,bot waked up
09.09.2018,22:24:05.217361,bot was interrupted by error:('22012', '[22012] [Microsoft][SQL Server Native Client 11.0][SQL Server]Обнаружена ошибка: деление на ноль. (8134) (SQLExecDirectW)') in main
09.09.2018,22:24:05.218334,bot restart attempt
09.09.2018,22:24:07.240796,bot waked up
09.09.2018,22:25:26.537664,bot waked up
09.09.2018,22:25:30.857977,bot was interrupted by error:('42000', '[42000] [Microsoft][SQL Server Native Client 11.0][SQL Server]Неправильный синтаксис около ключевого слова "EXEC". (156) (SQLExecDirectW)') in main
09.09.2018,22:25:30.857977,bot restart attempt
09.09.2018,22:25:32.855047,bot waked up
09.09.2018,22:25:56.589423,bot waked up
09.09.2018,22:26:02.911688,bot was interrupted by error:('42000', '[42000] [Microsoft][SQL Server Native Client 11.0][SQL Server]Неправильный синтаксис около ключевого слова "FROM". (156) (SQLExecDirectW)') in main
09.09.2018,22:26:02.911688,bot restart attempt
09.09.2018,22:26:05.002510,bot waked up
09.09.2018,22:30:54.812079,bot waked up
09.09.2018,22:31:00.154852,bot was interrupted by error:('42000', '[42000] [Microsoft][SQL Server Native Client 11.0]Ошибка синтаксиса, отсутствие разрешения или другая неспецифическая ошибка (0) (SQLExecDirectW)') in main
09.09.2018,22:31:00.155833,bot restart attempt
09.09.2018,22:31:02.202711,bot waked up
09.09.2018,22:35:56.981030,bot waked up
09.09.2018,22:36:07.753483,bot was interrupted by error:No results.  Previous SQL was not a query. in main
09.09.2018,22:36:07.753483,bot restart attempt
09.09.2018,22:36:09.786692,bot waked up
09.09.2018,22:43:09.758367,bot waked up
09.09.2018,22:43:23.566967,bot was interrupted by error:No results.  Previous SQL was not a query. in main
09.09.2018,22:43:23.567945,bot restart attempt
09.09.2018,22:43:25.657787,bot waked up
09.09.2018,22:49:03.724188,bot waked up
09.09.2018,22:49:24.600167,bot was interrupted by error:No results.  Previous SQL was not a query. in main
09.09.2018,22:49:24.600167,bot restart attempt
09.09.2018,22:49:26.498603,bot waked up
09.09.2018,22:50:45.183186,bot waked up
09.09.2018,22:51:05.092366,bot was interrupted by error:No results.  Previous SQL was not a query. in main
09.09.2018,22:51:05.092366,bot restart attempt
